_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight,label
9.512345400253253e-07,0.006748571060597897,0.007486467249691486,0.011875425465404987,0.40598028898239136,0.21073676645755768,1.0447861313878093e-05,4.602904084549664e-07,2.6505159667067346e-07,0.16781246662139893,0.1914343684911728,0.06314072012901306,0.07758116722106934,0.017556531354784966,0.3157687485218048,0.3347989022731781,0.005485836882144213,0.1432764232158661,0.12767064571380615,0.6271357536315918,0.5888286828994751,0.004275978077203035,0.004853525664657354,2.419484189886134e-05,0.004641328006982803,0.1286206692457199,0.0008361304644495249,0.08890378475189209,0.00341400015167892,0.0005537269753403962,1.5910911315586418e-05,2.673693234100938e-05,0.036054663360118866,0.0049225157126784325,0.000316437246510759,0.0007315505063161254,0.0008873693877831101,0.00028881014441139996,0.9953985214233398,0.004007614217698574,0.035293951630592346,0.07961259037256241,0.0053286184556782246,0.0018974628765136003,3.6238449752090673e-07,1.0754618529063009e-07,1.7858585124486126e-05,7.78075773268938e-05,3.4256001981702866e-06,2.4294738523167325e-06,1.8834803086065222e-06,1.6396805335716635e-07,focused
8.831931381791946e-07,0.012731844559311867,0.013163224793970585,0.015655644237995148,0.2578231394290924,0.12684908509254456,8.53808433021186e-06,4.219731124521786e-07,1.829893392368831e-07,0.20747672021389008,0.2607854902744293,0.09359270334243774,0.1167866513133049,0.01867622137069702,0.31568679213523865,0.3231213688850403,0.005936112254858017,0.10187108814716339,0.08521941304206848,0.6038202047348022,0.5867412090301514,0.0032728484366089106,0.002897765953093767,2.0136300008744e-05,0.005063896533101797,0.1415969282388687,0.0007598008960485458,0.10221444070339203,0.001731631811708212,0.000931770890019834,1.650908416195307e-05,2.4808188754832372e-05,0.03451669216156006,0.003948151133954525,0.0003003674210049212,0.0004997696378268301,0.0005118005792610347,0.00034960336051881313,0.9958192706108093,0.005893041379749775,0.03657481074333191,0.08101924508810043,0.006181218195706606,0.0023956298828125,2.7021354753742344e-07,1.0834234842604928e-07,1.5109394553292077e-05,6.461235170718282e-05,3.613850822148379e-06,3.5161424420948606e-06,1.5293794604076538e-06,1.415246231317724e-07,focused
9.245338219443511e-07,0.016083991155028343,0.018780121579766273,0.01659434475004673,0.2273988574743271,0.09075865894556046,7.677439498365857e-06,4.5128038550501515e-07,1.7398151896941272e-07,0.23816360533237457,0.2897298336029053,0.1145838126540184,0.13622482120990753,0.01875377632677555,0.31998974084854126,0.3238306939601898,0.006246244069188833,0.08537328988313675,0.07258111238479614,0.5665371417999268,0.5602192878723145,0.0028190077282488346,0.0024105198681354523,1.8750746676232666e-05,0.004896155558526516,0.16791579127311707,0.0008757304167374969,0.12214784324169159,0.0010844820644706488,0.0010707402834668756,2.004322777793277e-05,2.9366323360591196e-05,0.03533312678337097,0.00316621083766222,0.0003002866287715733,0.00043083602213300765,0.000374907860532403,0.00037424988113343716,0.9961152672767639,0.00828612968325615,0.040514443069696426,0.09355057030916214,0.007154993712902069,0.002865068381652236,2.0351167506760248e-07,9.483751739480795e-08,1.3407297956291586e-05,6.474872498074546e-05,3.853367161354981e-06,4.550420726445736e-06,1.468254936298763e-06,1.4496758637960738e-07,focused
9.867569588095648e-07,0.01767544075846672,0.020568547770380974,0.019060485064983368,0.22135336697101593,0.08267416059970856,7.74943964643171e-06,4.678756795328809e-07,1.7371046112657496e-07,0.24520309269428253,0.2959945499897003,0.12482810765504837,0.1482497602701187,0.01257955189794302,0.37749114632606506,0.386248916387558,0.005367981735616922,0.07822065055370331,0.06601226329803467,0.5456439852714539,0.5508741736412048,0.0027873022481799126,0.0022627259604632854,1.8361935872235335e-05,0.004875251092016697,0.1794886291027069,0.000902343075722456,0.13160938024520874,0.000962356454692781,0.0009917161660268903,2.3829994461266324e-05,3.431593722780235e-05,0.03478990122675896,0.0029770105611532927,0.00027616842999123037,0.0003883893950842321,0.0003424830792937428,0.00035345664946362376,0.9962117075920105,0.008900679647922516,0.04079696908593178,0.0935409665107727,0.007988160476088524,0.0032813309226185083,1.9281259255876648e-07,8.977786336572535e-08,1.4182218365021981e-05,6.380315608112141e-05,4.192625510768266e-06,5.342642452887958e-06,1.4425406789086992e-06,1.5395177399568638e-07,focused
9.814252734940965e-07,0.016773806884884834,0.020007019862532616,0.02241392992436886,0.2199210375547409,0.08287133276462555,7.897958312241826e-06,4.663721711040125e-07,1.6888181164631533e-07,0.25076058506965637,0.30526888370513916,0.12150197476148605,0.14551830291748047,0.012049799785017967,0.38704803586006165,0.3946616053581238,0.0051923408173024654,0.08073516935110092,0.06744316220283508,0.5405467748641968,0.54441237449646,0.002766441786661744,0.0021562969777733088,1.8015445675700903e-05,0.004991339519619942,0.19483955204486847,0.0009317797957919538,0.14125201106071472,0.0008590335492044687,0.0009769147727638483,2.4639653929625638e-05,3.514530180837028e-05,0.03443007916212082,0.0027078487910330296,0.0002857101790141314,0.0003936138527933508,0.0003220881335437298,0.0003524473577272147,0.9962241053581238,0.009801090694963932,0.04091501608490944,0.10342267900705338,0.007691686041653156,0.003195574041455984,1.739493455943375e-07,8.259878114813546e-08,1.4017232388141565e-05,6.244262476684526e-05,4.081996848981362e-06,5.413631697592791e-06,1.447051772629493e-06,1.5212815185350337e-07,focused
1.0113167263625655e-06,0.016463125124573708,0.019843690097332,0.02167406491935253,0.23016373813152313,0.08340940624475479,7.983141586009879e-06,4.92135939111904e-07,1.7193768542256294e-07,0.25353848934173584,0.3070305585861206,0.12877552211284637,0.1536645144224167,0.011648651212453842,0.3948495388031006,0.4020240306854248,0.0050719003193080425,0.07620269805192947,0.0632738471031189,0.5293846130371094,0.5415703654289246,0.002743547083809972,0.002157582901418209,1.761511703080032e-05,0.004520827904343605,0.20502017438411713,0.0010244074510410428,0.15032045543193817,0.0008419528021477163,0.0009433522936888039,2.747287362581119e-05,3.958880188292824e-05,0.033482540398836136,0.002412280533462763,0.000281391607131809,0.0003900254669133574,0.00032423302764073014,0.0003457845014054328,0.9962459802627563,0.011143225245177746,0.042048875242471695,0.10200732946395874,0.008215714246034622,0.0033326782286167145,1.725482547954016e-07,8.110027494012684e-08,1.444110876036575e-05,6.502896576421335e-05,4.300506589061115e-06,5.705628154828446e-06,1.4706456568092108e-06,1.5679010800795368e-07,focused
1.0246174042549683e-06,0.01670946553349495,0.019979985430836678,0.020914606750011444,0.2281855195760727,0.08313894271850586,8.189712389139459e-06,4.900083467873628e-07,1.6812219882922363e-07,0.2569502294063568,0.31475210189819336,0.12429377436637878,0.15025486052036285,0.011640590615570545,0.3912886083126068,0.39908596873283386,0.005314997863024473,0.07942881435155869,0.0654052346944809,0.5307304263114929,0.5428962707519531,0.0027162691112607718,0.002064311411231756,1.763824730005581e-05,0.004361574538052082,0.2105870246887207,0.0010690346825867891,0.15515859425067902,0.0008381737861782312,0.0009273581090383232,2.8086667953175493e-05,4.043578519485891e-05,0.033022020012140274,0.0022243126295506954,0.0002846796123776585,0.0003928092774003744,0.00032791774719953537,0.00033766700653359294,0.9961947798728943,0.012025358155369759,0.04166490584611893,0.10399854183197021,0.008139662444591522,0.0032629487104713917,1.7333580615286337e-07,8.016414909661762e-08,1.4804614693275653e-05,6.512310937978327e-05,4.272133992344607e-06,5.58821693630307e-06,1.4658946838608244e-06,1.56731061906612e-07,focused
1.0424504353068187e-06,0.016953157261013985,0.020189456641674042,0.01983993873000145,0.22757740318775177,0.08142995089292526,8.32876958156703e-06,4.925233270114404e-07,1.6991396023513516e-07,0.26084285974502563,0.3211175501346588,0.12067539244890213,0.14568893611431122,0.011590423062443733,0.3931238651275635,0.40107548236846924,0.0053141359239816666,0.08197664469480515,0.06824897974729538,0.5321683883666992,0.5443993806838989,0.002660718047991395,0.0019819403532892466,1.7875318008009344e-05,0.004368642810732126,0.21492068469524384,0.0010663585271686316,0.15930169820785522,0.0008380891522392631,0.0008854913176037371,2.9886588890803978e-05,4.2911335185635835e-05,0.032609693706035614,0.0020342757925391197,0.00028739633853547275,0.0004031035932712257,0.00034507119562476873,0.0003322366683278233,0.9960269927978516,0.012884914875030518,0.0410209521651268,0.10406532883644104,0.008058068342506886,0.003219165140762925,1.8102103638284461e-07,8.148030161692077e-08,1.5973077097442e-05,6.669019057881087e-05,4.322846507420763e-06,5.537283868761733e-06,1.4814988844591426e-06,1.5821676413452224e-07,focused
1.0586849157334655e-06,0.016434967517852783,0.019606078043580055,0.021400660276412964,0.22783808410167694,0.08259178698062897,8.506892299919855e-06,5.075120839137526e-07,1.71316202113303e-07,0.2621457576751709,0.3220010995864868,0.11984551697969437,0.14450028538703918,0.011572404764592648,0.3927602767944336,0.4005410075187683,0.005395982414484024,0.08295664936304092,0.06919250637292862,0.5350362658500671,0.5459874868392944,0.002660262631252408,0.001994185848161578,1.7890668459585868e-05,0.004262594040483236,0.220864936709404,0.0010917135514318943,0.16480709612369537,0.0008554277010262012,0.0008552548824809492,3.0726008844794706e-05,4.444585647433996e-05,0.032246168702840805,0.0018515043193474412,0.00028893104172311723,0.00041328277438879013,0.00035100270179100335,0.0003230651782359928,0.9960359930992126,0.014244215562939644,0.04107910022139549,0.10512484610080719,0.008013752289116383,0.0031844989862293005,1.8196156759131554e-07,8.048557731399342e-08,1.6301943105645478e-05,6.798301183152944e-05,4.31416492574499e-06,5.428075837698998e-06,1.4927096572137089e-06,1.6109608225178818e-07,focused
1.0924630942099611e-06,0.016450226306915283,0.01918921433389187,0.02125093899667263,0.23005759716033936,0.08245614171028137,8.599914508522488e-06,5.28015505096846e-07,1.7381219663548109e-07,0.2664215862751007,0.32226723432540894,0.11975902318954468,0.14417245984077454,0.011904534883797169,0.38669875264167786,0.3946262001991272,0.005636125802993774,0.08308529108762741,0.06983663886785507,0.5375587344169617,0.5455360412597656,0.0025975212920457125,0.001987447729334235,1.8173632270190865e-05,0.004041237290948629,0.22458308935165405,0.001137412153184414,0.16949887573719025,0.0008541806600987911,0.0008252354455180466,3.2877971534617245e-05,4.8203946789726615e-05,0.031825874000787735,0.0016372379614040256,0.00028990115970373154,0.00042352222953923047,0.0003652443119790405,0.0003190882853232324,0.995853066444397,0.015928536653518677,0.04037008807063103,0.10298547893762589,0.00810207612812519,0.0032526918221265078,1.917468352985452e-07,8.393057271405269e-08,1.7069000023184344e-05,7.342170283664018e-05,4.491971139941597e-06,5.530154339794535e-06,1.5263661907738424e-06,1.676823444540787e-07,focused
