timestamp,focus_score
4.370159149169922,0
4.473812103271484,0
4.582150459289551,0
4.7000627517700195,0
4.8114049434661865,0
4.918484687805176,0
5.02802300453186,0
5.131808042526245,0
5.233960866928101,0
5.353341579437256,0
5.45729398727417,0
5.558098077774048,0
5.6619226932525635,0
5.7649641036987305,0
5.870193719863892,0
5.968810319900513,0
6.070011615753174,0
6.174904108047485,0
6.2798686027526855,0
6.384947061538696,0
6.491365909576416,0
6.598192453384399,0
6.697839975357056,0
6.806429624557495,0
6.916691780090332,0
7.020196199417114,0
7.127339124679565,0
7.249841928482056,0
7.3572678565979,0
7.4600348472595215,0
7.600833177566528,0
7.706151962280273,0
7.810128688812256,0
7.92522668838501,0
8.024328470230103,0
8.128447771072388,0
8.239171743392944,0
8.34436821937561,0
8.44994044303894,0
8.552537202835083,0
8.65745759010315,0
8.778071880340576,0
8.883855819702148,0
8.998827695846558,0
9.100219011306763,0
9.202280044555664,0
9.310067415237427,0
9.41593885421753,0
9.527172803878784,0
9.624086618423462,0
9.73212742805481,0
9.850085020065308,0
9.95615005493164,0
10.070245504379272,0
10.16766619682312,0
10.273356437683105,0
10.37415099143982,0
10.481481790542603,0
10.585754156112671,0
10.694718360900879,0
10.795860528945923,0
10.902787685394287,0
11.005798816680908,0
11.131580352783203,0
11.236422777175903,0
11.346036672592163,0
11.456084966659546,0
11.57327914237976,0
11.678162097930908,0
11.798468828201294,0
11.909077405929565,0
12.016130924224854,0
12.1229887008667,0
12.233215093612671,0
12.34046483039856,0
12.455703258514404,0
12.55803370475769,0
12.676104545593262,0
12.782233476638794,0
12.896364450454712,0
13.004209518432617,0
13.143091201782227,0
13.251729488372803,0
13.355339527130127,0
13.462244749069214,0
13.57078242301941,0
13.672851800918579,0
13.785029888153076,0
13.895503282546997,0
13.997827529907227,0
14.112933158874512,0
14.22505784034729,0
14.338719606399536,0
14.447372674942017,0
14.552937746047974,0
14.666220426559448,0
14.774417161941528,0
14.893672704696655,0
15.00729489326477,0
15.132280349731445,0
15.238300323486328,0
15.345304250717163,0
15.456863641738892,0
15.565317153930664,0
15.668241262435913,0
15.776978015899658,0
15.873486518859863,0
15.978946447372437,0
16.088388204574585,0
16.19714069366455,0
16.3129825592041,0
16.42366099357605,0
16.524230003356934,0
16.634293794631958,0
16.743828058242798,0
16.848408222198486,0
16.95418095588684,0
17.059185028076172,0
17.168290853500366,0
17.284213066101074,0
17.383420944213867,0
17.490129709243774,0
17.597108840942383,0
17.704314947128296,0
17.815426349639893,0
17.918956995010376,0
18.025026082992554,0
18.137508153915405,0
18.265254497528076,0
18.371166944503784,0
